Date,Team,Notes,Status,Player
2012-04-30,Knicks,placed on IL with torn lateral meniscus / ACL (CBC) / ACL and MCL (P) in left knee (out for season),Relinquished,Iman Shumpert
2012-05-01,Bulls,placed on IL with torn ACL in left knee (out for season),Relinquished,Derrick Rose
2012-05-06,Knicks,"torn ACL, MCL, and patella tendon in right knee (out for season)",Relinquished,Baron Davis
2012-05-09,Knicks,"placed on IL with torn ACL, MCL, and patella tendon in right knee (out for season)",Relinquished,Baron Davis
2012-05-12,Bulls,surgery on left knee to repair torn ACL,Relinquished,Derrick Rose
2012-10-30,Bulls,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Derrick Rose
2012-10-30,Knicks,recovering from surgery on left knee to repair torn lateral meniscus / ACL (CBC) (out indefinitely),Relinquished,Iman Shumpert
2012-10-31,Bulls,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Derrick Rose
2012-11-02,Knicks,placed on IL recovering from surgery on left knee to repair torn lateral meniscus / ACL,Relinquished,Iman Shumpert
2012-11-02,Timberwolves,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Ricky Rubio
2012-11-03,Warriors,torn ACL in left knee (out for season),Relinquished,Brandon Rush
2012-11-03,Warriors,placed on IL with torn ACL in left knee (out for season),Relinquished,Brandon Rush
2012-12-20,Timberwolves,torn ACL in right knee (out indefinitely),Relinquished,Josh Howard
2013-01-19,Hawks,placed on IL with torn ACL in right knee (out for season),Relinquished,Louis Williams / Lou Williams
2013-01-27,Celtics,torn ACL in right knee (DNP),Relinquished,Rajon Rondo
2013-01-30,Celtics,torn ACL in right knee (DNP),Relinquished,Rajon Rondo
2013-02-01,Celtics,placed on IL with torn ACL in right knee (out for season),Relinquished,Rajon Rondo
2013-02-07,Hawks,surgery on right knee to repair torn ACL (out for season),Relinquished,Louis Williams / Lou Williams
2013-02-12,Celtics,torn ACL in left knee (out for season),Relinquished,Leandro Barbosa
2013-02-13,Celtics,surgery on left knee to repair torn ACL (out for season),Relinquished,Rajon Rondo
2013-02-19,Celtics,torn ACL in left knee (DNP),Relinquished,Leandro Barbosa
2013-02-20,Celtics,torn ACL in left knee (DNP),Relinquished,Leandro Barbosa
2013-02-27,Wizards,placed on IL recovering from surgery on left knee to repair torn ACL (out for season),Relinquished,Leandro Barbosa
2013-04-05,Nuggets,torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
2013-04-06,Nuggets,placed on IL with torn ACL in left knee (out for season),Relinquished,Danilo Gallinari
2013-06-03,Nuggets,surgery on left knee to repair torn ACL (out indefinitely) (date approximate),Relinquished,Danilo Gallinari
2013-10-29,Celtics,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Rajon Rondo
2013-10-29,Nuggets,recovering from surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Danilo Gallinari
2013-10-30,Celtics,placed on IL recovering from surgery on left / right (P) knee to repair torn ACL,Relinquished,Rajon Rondo
2013-10-30,Jazz,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Brandon Rush
2013-10-30,Nuggets,placed on IL recovering from surgery on left knee to repair torn ACL,Relinquished,Danilo Gallinari
2013-11-01,Jazz,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Brandon Rush
2013-11-02,Jazz,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Brandon Rush
2014-01-21,Nuggets,surgery on left knee to reconstruct ACL (out for season),Relinquished,Danilo Gallinari
2014-01-31,Nuggets,torn ACL in left knee (out indefinitely),Relinquished,Nate Robinson
2014-01-31,Nuggets,surgery on left knee to repair torn ACL (out indefinitely),Relinquished,Nate Robinson
2014-02-03,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-05,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-07,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-08,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-10,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-12,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-18,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-20,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-21,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-23,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-25,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-02-27,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-01,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
2014-03-05,Nuggets,recovering from surgery on left knee to repair torn ACL (DNP),Relinquished,Nate Robinson
