Date,Team,Acquired,Relinquished,Notes
2000-01-21,Warriors,,Adonal Foyle,sprained right ankle (DNP)
2000-01-21,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-22,Celtics,,Calbert Cheaney,birth of child (DNP)
2000-01-22,Celtics,,Eric Williams,sore right knee (DNP)
2000-01-22,Jazz,,Jeff Hornacek,sore back and knee (DNP)
2000-01-22,Magic,Monty Williams,,activated from IL
2000-01-22,Rockets,,Carlos Rogers,placed on IR with torn ligament in right hand
2000-01-22,Rockets,Kelvin Cato,,activated from IL
2000-01-22,Suns,,Mark West (Andre),placed on IL with back spasms
2000-01-22,Suns,,Rex Chapman,sore right ankle (DNP)
2000-01-22,Suns,Anfernee Hardaway / Penny Hardaway,,activated from IL
2000-01-23,Mavericks,,Gary Trent,strained left groin (DNP)
2000-01-23,Pistons,,Grant Hill,bruised right hip (DNP)
2000-01-23,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-24,Blazers,,Antonio Harvey,placed on IL with knee injury
2000-01-24,Blazers,Joe Kleine,,activated from IL
Date,Team,Acquired,Relinquished,Notes
2000-01-24,Spurs,,Chucky Brown,placed on IL with strained lower back
2000-01-25,Cavaliers,,Wesley Person,stomach flu (DNP)
2000-01-25,Celtics,,Eric Williams,placed on IL with sore right knee
2000-01-25,Celtics,,Paul Pierce,pulled left hamstring (DNP)
2000-01-25,Celtics,Adrian Griffin,,activated from IL
2000-01-25,Hawks,,Chris Crawford (Lee),bruised tailbone (DNP)
2000-01-25,Heat,,Dan Majerle,placed on IR with stress fracture of fibula in left leg
2000-01-25,Heat,Tim James,,activated from IL
2000-01-25,Kings,,Predrag Stojakovic / Peja Stojakovic,right Achilles tendinitis (DNP)
2000-01-25,Mavericks,,Gary Trent,placed on IL with strained left groin
2000-01-25,Pistons,,Grant Hill,bruised right hip (DNP)
2000-01-25,Spurs,,Marcus Brown,placed on IL with strained lower back
2000-01-25,Spurs,Felton Spencer,,activated from IL
2000-01-25,Warriors,,Donyell Marshall,DNP
2000-01-25,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-25,Warriors,,Tim Young,placed on IL with plantar fasciaitis in right foot
2000-01-25,Warriors,Terry Cummings,,activated from IL
2000-01-26,Cavaliers,Ryan Stack,,activated from IL
2000-01-26,Celtics,,Paul Pierce,strained left hamstring (DNP)
2000-01-26,Grizzlies,,Doug West,sprained right foot (DNP)
2000-01-26,Jazz,,Adam Keefe,flu (DNP)
2000-01-26,Kings,,Predrag Stojakovic / Peja Stojakovic,right Achilles tendinitis (DNP)
2000-01-26,Raptors,,Alvin Williams,sprained left ankle (DNP)
2000-01-26,Raptors,,Sean Marks,placed on IL with patellar tendinitis in left knee
2000-01-26,Raptors,Dell Curry,,activated from IL
Date,Team,Acquired,Relinquished,Notes
2000-01-26,Sonics,,Brent Barry,mild concussion (DNP)
2000-01-26,Wizards,,Michael Smith (John) (Providence),strained right elbow (DNP)
2000-01-27,Grizzlies,,Doug West,sore wrist (DNP)
2000-01-27,Nets,,Jim McIlvaine,sore left Achilles tendon (DNP)
2000-01-27,Warriors,,Erick Dampier,recovering from left knee surgery (DNP)
2000-01-27,Warriors,,Sam Mack,right foot injury (DNP)
2000-01-28,Celtics,,Pervis Ellison,strained left calf (DNP)
2000-01-28,Hawks,,Dion Glover,placed on IR for left knee rehabilitation
2000-01-28,Hawks,Roshown McLeod,,activated from IL
2000-01-28,Kings,,Predrag Stojakovic / Peja Stojakovic,right Achilles tendinitis (DNP)
2000-01-28,Knicks,,Andrew Lang,placed on IR with hamstring injury
2000-01-28,Knicks,,Chris Childs,strained left Achilles tendon (DNP)
2000-01-28,Knicks,Rick Brunson,,activated from IL
2000-01-28,Nuggets,,Ryan Bowen,placed on IL with sprained right ankle
2000-01-28,Nuggets,Roy Rogers,,activated from IL
2000-01-29,Sonics,,Horace Grant,bruised left thigh (DNP)
2000-01-29,Wizards,,Michael Smith (John) (Providence),sprained right elbow (DNP)
